True from Junction Tree,"True from P(Y, lambda)",P_lambda,Dataset size
0.0,-1.5497207073167374e-08,0.07874999940395355,N=800
0.1200779601931572,0.15789474546909332,0.023749999701976776,N=800
0.4923003017902374,0.4911433458328247,0.7762500047683716,N=800
0.9925925135612488,0.9999999403953552,0.12125000357627869,N=800
0.13012677431106567,0.13352273404598236,0.4399999976158142,N=800
0.15526990592479706,0.06666669249534607,0.01875000074505806,N=800
0.3354755640029907,1.0,0.0024999999441206455,N=800
0.733717679977417,0.7341040372848511,0.4325000047683716,N=800
1.0,1.0,0.09125000238418579,N=800
1.0,1.0000001192092896,0.014999999664723873,N=800
0.0,-3.33786012163273e-08,0.04874999821186066,N=800
0.02389064058661461,0.03107345663011074,0.4424999952316284,N=800
0.5022480487823486,0.3684210479259491,0.023749999701976776,N=800
0.9756432175636292,0.9617486000061035,0.22875000536441803,N=800
0.9827184677124023,0.995121955871582,0.2562499940395355,N=800
0.010472610592842102,0.015789438039064407,0.23749999701976776,N=800
0.11935967952013016,0.08715598285198212,0.27250000834465027,N=800
0.6151883602142334,0.7307692766189575,0.06499999761581421,N=800
0.9170674085617065,0.9617833495140076,0.19625000655651093,N=800
0.9175170063972473,0.8333333730697632,0.014999999664723873,N=800
1.0,0.9999999403953552,0.21375000476837158,N=800
0.0237497016787529,0.02617798000574112,0.23874999582767487,N=800
0.16527974605560303,0.13852815330028534,0.2887499928474426,N=800
0.6731792688369751,0.7123287916183472,0.18250000476837158,N=800
0.91044020652771,1.0,0.08624999970197678,N=800
1.0,1.0,0.19499999284744263,N=800
1.0,1.0,0.008750000037252903,N=800
0.0,-2.3841858265427618e-08,0.20499999821186066,N=800
0.44783714413642883,0.4478371739387512,0.49125000834465027,N=800
0.9152542352676392,0.9152542352676392,0.2212499976158142,N=800
0.9833332300186157,0.9833332896232605,0.07500000298023224,N=800
0.0,9.53674295089968e-09,0.04749999940395355,N=800
0.02468040958046913,0.020172923803329468,0.4337500035762787,N=800
0.35737180709838867,0.40625,0.03999999910593033,N=800
0.9265256524085999,0.9356724619865417,0.21375000476837158,N=800
1.0,0.9952607154846191,0.26374998688697815,N=800
0.0,-1.5497207073167374e-08,0.23624999821186066,N=800
0.46929827332496643,0.46929824352264404,0.2849999964237213,N=800
0.9142857193946838,0.9142857193946838,0.04374999925494194,N=800
0.939297080039978,0.939297080039978,0.39125001430511475,N=800
0.005196896381676197,4.887580828949467e-08,0.1237500011920929,N=800
0.04610149934887886,0.043010711669921875,0.23250000178813934,N=800
0.36418014764785767,0.3705882132053375,0.21250000596046448,N=800
0.8285024762153625,1.0000001192092896,0.0037499999161809683,N=800
0.9414801001548767,0.9545454382896423,0.054999999701976776,N=800
1.0,0.9999999403953552,0.3725000023841858,N=800
0.02062232606112957,0.013071895577013493,0.1912499964237213,N=800
0.3007315397262573,0.3218750059604645,0.4000000059604645,N=800
0.4223918616771698,1.0,0.0024999999441206455,N=800
