Active Learning Iteration,Metric,Value,Run,Set,Model
34,MCC,0.5994533352777068,0,train,Generative
34,Precision,0.7346938775510204,0,train,Generative
34,Recall,0.627906976744186,0,train,Generative
34,Accuracy,0.8702770780856424,0,train,Generative
35,MCC,0.5994533352777068,0,train,Generative
35,Precision,0.7346938775510204,0,train,Generative
35,Recall,0.627906976744186,0,train,Generative
35,Accuracy,0.8702770780856424,0,train,Generative
36,MCC,0.5994533352777068,0,train,Generative
36,Precision,0.7346938775510204,0,train,Generative
36,Recall,0.627906976744186,0,train,Generative
36,Accuracy,0.8702770780856424,0,train,Generative
37,MCC,0.5994533352777068,0,train,Generative
37,Precision,0.7346938775510204,0,train,Generative
37,Recall,0.627906976744186,0,train,Generative
37,Accuracy,0.8702770780856424,0,train,Generative
38,MCC,0.5994533352777068,0,train,Generative
38,Precision,0.7346938775510204,0,train,Generative
38,Recall,0.627906976744186,0,train,Generative
38,Accuracy,0.8702770780856424,0,train,Generative
39,MCC,0.5994533352777068,0,train,Generative
39,Precision,0.7346938775510204,0,train,Generative
39,Recall,0.627906976744186,0,train,Generative
39,Accuracy,0.8702770780856424,0,train,Generative
40,MCC,0.5994533352777068,0,train,Generative
40,Precision,0.7346938775510204,0,train,Generative
40,Recall,0.627906976744186,0,train,Generative
40,Accuracy,0.8702770780856424,0,train,Generative
41,MCC,0.5994533352777068,0,train,Generative
41,Precision,0.7346938775510204,0,train,Generative
41,Recall,0.627906976744186,0,train,Generative
41,Accuracy,0.8702770780856424,0,train,Generative
42,MCC,0.5994533352777068,0,train,Generative
42,Precision,0.7346938775510204,0,train,Generative
42,Recall,0.627906976744186,0,train,Generative
42,Accuracy,0.8702770780856424,0,train,Generative
43,MCC,0.5994533352777068,0,train,Generative
43,Precision,0.7346938775510204,0,train,Generative
43,Recall,0.627906976744186,0,train,Generative
43,Accuracy,0.8702770780856424,0,train,Generative
44,MCC,0.5994533352777068,0,train,Generative
44,Precision,0.7346938775510204,0,train,Generative
44,Recall,0.627906976744186,0,train,Generative
44,Accuracy,0.8702770780856424,0,train,Generative
45,MCC,0.5994533352777068,0,train,Generative
45,Precision,0.7346938775510204,0,train,Generative
45,Recall,0.627906976744186,0,train,Generative
45,Accuracy,0.8702770780856424,0,train,Generative
46,MCC,0.5994533352777068,0,train,Generative
46,Precision,0.7346938775510204,0,train,Generative
46,Recall,0.627906976744186,0,train,Generative
46,Accuracy,0.8702770780856424,0,train,Generative
47,MCC,0.5994533352777068,0,train,Generative
47,Precision,0.7346938775510204,0,train,Generative
47,Recall,0.627906976744186,0,train,Generative
47,Accuracy,0.8702770780856424,0,train,Generative
48,MCC,0.5994533352777068,0,train,Generative
48,Precision,0.7346938775510204,0,train,Generative
48,Recall,0.627906976744186,0,train,Generative
48,Accuracy,0.8702770780856424,0,train,Generative
49,MCC,0.5994533352777068,0,train,Generative
49,Precision,0.7346938775510204,0,train,Generative
49,Recall,0.627906976744186,0,train,Generative
49,Accuracy,0.8702770780856424,0,train,Generative
50,MCC,0.5994533352777068,0,train,Generative
50,Precision,0.7346938775510204,0,train,Generative
50,Recall,0.627906976744186,0,train,Generative
50,Accuracy,0.8702770780856424,0,train,Generative
0,MCC,0.25900249271005615,1,train,Generative
0,Precision,0.6326530612244898,1,train,Generative
0,Recall,0.18023255813953487,1,train,Generative
0,Accuracy,0.7997481108312342,1,train,Generative
1,MCC,0.23773923707478614,1,train,Generative
1,Precision,0.8421052631578947,1,train,Generative
1,Recall,0.09302325581395349,1,train,Generative
1,Accuracy,0.7997481108312342,1,train,Generative
2,MCC,0.3525582196075267,1,train,Generative
2,Precision,0.6911764705882353,1,train,Generative
2,Recall,0.27325581395348836,1,train,Generative
2,Accuracy,0.8161209068010076,1,train,Generative
3,MCC,0.05204524553993131,1,train,Generative
3,Precision,0.35,1,train,Generative
3,Recall,0.040697674418604654,1,train,Generative
3,Accuracy,0.7758186397984886,1,train,Generative
4,MCC,0.2502033053205998,1,train,Generative
4,Precision,0.5507246376811594,1,train,Generative
4,Recall,0.22093023255813954,1,train,Generative
4,Accuracy,0.792191435768262,1,train,Generative
5,MCC,0.5494141341426007,1,train,Generative
5,Precision,0.7870370370370371,1,train,Generative
5,Recall,0.4941860465116279,1,train,Generative
5,Accuracy,0.8614609571788413,1,train,Generative
6,MCC,0.4804966623843209,1,train,Generative
6,Precision,0.9152542372881356,1,train,Generative
6,Recall,0.313953488372093,1,train,Generative
6,Accuracy,0.845088161209068,1,train,Generative
7,MCC,0.5454796791302933,1,train,Generative
7,Precision,0.8974358974358975,1,train,Generative
7,Recall,0.4069767441860465,1,train,Generative
7,Accuracy,0.8614609571788413,1,train,Generative
8,MCC,0.5454796791302933,1,train,Generative
8,Precision,0.8974358974358975,1,train,Generative
8,Recall,0.4069767441860465,1,train,Generative
8,Accuracy,0.8614609571788413,1,train,Generative
9,MCC,0.5183822879152591,1,train,Generative
9,Precision,0.7857142857142857,1,train,Generative
9,Recall,0.4476744186046512,1,train,Generative
9,Accuracy,0.853904282115869,1,train,Generative
10,MCC,0.5183822879152591,1,train,Generative
10,Precision,0.7857142857142857,1,train,Generative
10,Recall,0.4476744186046512,1,train,Generative
10,Accuracy,0.853904282115869,1,train,Generative
11,MCC,0.5183822879152591,1,train,Generative
11,Precision,0.7857142857142857,1,train,Generative
11,Recall,0.4476744186046512,1,train,Generative
11,Accuracy,0.853904282115869,1,train,Generative
12,MCC,0.5183822879152591,1,train,Generative
12,Precision,0.7857142857142857,1,train,Generative
12,Recall,0.4476744186046512,1,train,Generative
12,Accuracy,0.853904282115869,1,train,Generative
13,MCC,0.5183822879152591,1,train,Generative
13,Precision,0.7857142857142857,1,train,Generative
13,Recall,0.4476744186046512,1,train,Generative
13,Accuracy,0.853904282115869,1,train,Generative
14,MCC,0.5183822879152591,1,train,Generative
14,Precision,0.7857142857142857,1,train,Generative
14,Recall,0.4476744186046512,1,train,Generative
14,Accuracy,0.853904282115869,1,train,Generative
15,MCC,0.5183822879152591,1,train,Generative
15,Precision,0.7857142857142857,1,train,Generative
15,Recall,0.4476744186046512,1,train,Generative
15,Accuracy,0.853904282115869,1,train,Generative
16,MCC,0.5183822879152591,1,train,Generative
16,Precision,0.7857142857142857,1,train,Generative
16,Recall,0.4476744186046512,1,train,Generative
16,Accuracy,0.853904282115869,1,train,Generative
17,MCC,0.5183822879152591,1,train,Generative
17,Precision,0.7857142857142857,1,train,Generative
17,Recall,0.4476744186046512,1,train,Generative
17,Accuracy,0.853904282115869,1,train,Generative
18,MCC,0.5183822879152591,1,train,Generative
18,Precision,0.7857142857142857,1,train,Generative
18,Recall,0.4476744186046512,1,train,Generative
18,Accuracy,0.853904282115869,1,train,Generative
19,MCC,0.5183822879152591,1,train,Generative
19,Precision,0.7857142857142857,1,train,Generative
19,Recall,0.4476744186046512,1,train,Generative
