,Active Learning Iteration,Run,Accuracy
254,25,4,0.977
255,25,5,0.9774
256,25,6,0.9742
257,25,7,0.974
258,25,8,0.9765
259,25,9,0.9772
260,26,0,0.9746
261,26,1,0.9771
262,26,2,0.9768
263,26,3,0.9776
264,26,4,0.9672
265,26,5,0.9771
266,26,6,0.9742
267,26,7,0.974
268,26,8,0.974
269,26,9,0.9752
270,27,0,0.9757
271,27,1,0.972
272,27,2,0.9767
273,27,3,0.9759
274,27,4,0.9731
275,27,5,0.9751
276,27,6,0.9732
277,27,7,0.9738
278,27,8,0.9661
279,27,9,0.9734
280,28,0,0.9775
281,28,1,0.9748
282,28,2,0.9668
283,28,3,0.9773
284,28,4,0.9701
285,28,5,0.975
286,28,6,0.9709
287,28,7,0.9709
288,28,8,0.9744
289,28,9,0.9717
290,29,0,0.9702
291,29,1,0.9747
292,29,2,0.9757
293,29,3,0.9753
294,29,4,0.976
295,29,5,0.9708
296,29,6,0.9729
297,29,7,0.9763
298,29,8,0.9755
299,29,9,0.9684
300,30,0,0.9739
301,30,1,0.9773
302,30,2,0.9737
303,30,3,0.9753
304,30,4,0.9763
305,30,5,0.967
306,30,6,0.9725
307,30,7,0.9775
308,30,8,0.9746
309,30,9,0.9653
