Number of labeled points,Metric,Accuracy,Run,Approach,Model,Dash
23,Accuracy,0.9648,5,Active WeaSuL,Generative,n
24,Accuracy,0.9648,5,Active WeaSuL,Generative,n
25,Accuracy,0.9648,5,Active WeaSuL,Generative,n
26,Accuracy,0.9648,5,Active WeaSuL,Generative,n
27,Accuracy,0.9648,5,Active WeaSuL,Generative,n
28,Accuracy,0.9648,5,Active WeaSuL,Generative,n
29,Accuracy,0.9648,5,Active WeaSuL,Generative,n
30,Accuracy,0.9648,5,Active WeaSuL,Generative,n
0,Accuracy,0.9015,6,Active WeaSuL,Generative,n
1,Accuracy,0.9637,6,Active WeaSuL,Generative,n
2,Accuracy,0.9648,6,Active WeaSuL,Generative,n
3,Accuracy,0.9637,6,Active WeaSuL,Generative,n
4,Accuracy,0.9637,6,Active WeaSuL,Generative,n
5,Accuracy,0.9637,6,Active WeaSuL,Generative,n
6,Accuracy,0.9637,6,Active WeaSuL,Generative,n
7,Accuracy,0.9637,6,Active WeaSuL,Generative,n
8,Accuracy,0.9637,6,Active WeaSuL,Generative,n
9,Accuracy,0.9637,6,Active WeaSuL,Generative,n
10,Accuracy,0.9637,6,Active WeaSuL,Generative,n
11,Accuracy,0.9637,6,Active WeaSuL,Generative,n
12,Accuracy,0.9637,6,Active WeaSuL,Generative,n
13,Accuracy,0.9637,6,Active WeaSuL,Generative,n
14,Accuracy,0.9648,6,Active WeaSuL,Generative,n
15,Accuracy,0.9648,6,Active WeaSuL,Generative,n
16,Accuracy,0.9648,6,Active WeaSuL,Generative,n
17,Accuracy,0.9648,6,Active WeaSuL,Generative,n
18,Accuracy,0.9648,6,Active WeaSuL,Generative,n
19,Accuracy,0.9648,6,Active WeaSuL,Generative,n
20,Accuracy,0.9648,6,Active WeaSuL,Generative,n
21,Accuracy,0.9648,6,Active WeaSuL,Generative,n
22,Accuracy,0.9648,6,Active WeaSuL,Generative,n
23,Accuracy,0.9648,6,Active WeaSuL,Generative,n
24,Accuracy,0.9648,6,Active WeaSuL,Generative,n
25,Accuracy,0.9648,6,Active WeaSuL,Generative,n
26,Accuracy,0.9648,6,Active WeaSuL,Generative,n
27,Accuracy,0.9648,6,Active WeaSuL,Generative,n
28,Accuracy,0.9648,6,Active WeaSuL,Generative,n
29,Accuracy,0.9648,6,Active WeaSuL,Generative,n
30,Accuracy,0.9648,6,Active WeaSuL,Generative,n
0,Accuracy,0.9015,7,Active WeaSuL,Generative,n
1,Accuracy,0.9648,7,Active WeaSuL,Generative,n
2,Accuracy,0.9648,7,Active WeaSuL,Generative,n
3,Accuracy,0.9648,7,Active WeaSuL,Generative,n
4,Accuracy,0.9648,7,Active WeaSuL,Generative,n
5,Accuracy,0.9648,7,Active WeaSuL,Generative,n
6,Accuracy,0.9648,7,Active WeaSuL,Generative,n
7,Accuracy,0.9637,7,Active WeaSuL,Generative,n
8,Accuracy,0.9637,7,Active WeaSuL,Generative,n
9,Accuracy,0.9637,7,Active WeaSuL,Generative,n
10,Accuracy,0.9637,7,Active WeaSuL,Generative,n
11,Accuracy,0.9637,7,Active WeaSuL,Generative,n
12,Accuracy,0.9637,7,Active WeaSuL,Generative,n
13,Accuracy,0.9637,7,Active WeaSuL,Generative,n
14,Accuracy,0.9637,7,Active WeaSuL,Generative,n
15,Accuracy,0.9637,7,Active WeaSuL,Generative,n
16,Accuracy,0.9637,7,Active WeaSuL,Generative,n
17,Accuracy,0.9637,7,Active WeaSuL,Generative,n
18,Accuracy,0.9637,7,Active WeaSuL,Generative,n
19,Accuracy,0.9637,7,Active WeaSuL,Generative,n
20,Accuracy,0.9637,7,Active WeaSuL,Generative,n
21,Accuracy,0.9637,7,Active WeaSuL,Generative,n
22,Accuracy,0.9637,7,Active WeaSuL,Generative,n
23,Accuracy,0.9637,7,Active WeaSuL,Generative,n
24,Accuracy,0.9637,7,Active WeaSuL,Generative,n
25,Accuracy,0.9637,7,Active WeaSuL,Generative,n
26,Accuracy,0.9637,7,Active WeaSuL,Generative,n
27,Accuracy,0.9637,7,Active WeaSuL,Generative,n
28,Accuracy,0.9637,7,Active WeaSuL,Generative,n
29,Accuracy,0.9637,7,Active WeaSuL,Generative,n
30,Accuracy,0.9637,7,Active WeaSuL,Generative,n
0,Accuracy,0.9015,8,Active WeaSuL,Generative,n
1,Accuracy,0.9648,8,Active WeaSuL,Generative,n
2,Accuracy,0.9648,8,Active WeaSuL,Generative,n
3,Accuracy,0.9637,8,Active WeaSuL,Generative,n
4,Accuracy,0.9637,8,Active WeaSuL,Generative,n
5,Accuracy,0.9637,8,Active WeaSuL,Generative,n
6,Accuracy,0.9637,8,Active WeaSuL,Generative,n
7,Accuracy,0.9637,8,Active WeaSuL,Generative,n
8,Accuracy,0.9637,8,Active WeaSuL,Generative,n
9,Accuracy,0.9637,8,Active WeaSuL,Generative,n
10,Accuracy,0.9637,8,Active WeaSuL,Generative,n
11,Accuracy,0.9637,8,Active WeaSuL,Generative,n
12,Accuracy,0.9637,8,Active WeaSuL,Generative,n
13,Accuracy,0.9637,8,Active WeaSuL,Generative,n
14,Accuracy,0.9637,8,Active WeaSuL,Generative,n
15,Accuracy,0.9637,8,Active WeaSuL,Generative,n
16,Accuracy,0.9637,8,Active WeaSuL,Generative,n
17,Accuracy,0.9637,8,Active WeaSuL,Generative,n
18,Accuracy,0.9637,8,Active WeaSuL,Generative,n
19,Accuracy,0.9637,8,Active WeaSuL,Generative,n
20,Accuracy,0.9637,8,Active WeaSuL,Generative,n
21,Accuracy,0.9637,8,Active WeaSuL,Generative,n
22,Accuracy,0.9637,8,Active WeaSuL,Generative,n
23,Accuracy,0.9637,8,Active WeaSuL,Generative,n
24,Accuracy,0.9637,8,Active WeaSuL,Generative,n
25,Accuracy,0.9637,8,Active WeaSuL,Generative,n
26,Accuracy,0.9637,8,Active WeaSuL,Generative,n
27,Accuracy,0.9637,8,Active WeaSuL,Generative,n
28,Accuracy,0.9637,8,Active WeaSuL,Generative,n
29,Accuracy,0.9637,8,Active WeaSuL,Generative,n
30,Accuracy,0.9637,8,Active WeaSuL,Generative,n
0,Accuracy,0.9015,9,Active WeaSuL,Generative,n
1,Accuracy,0.9648,9,Active WeaSuL,Generative,n
2,Accuracy,0.9648,9,Active WeaSuL,Generative,n
3,Accuracy,0.9637,9,Active WeaSuL,Generative,n
4,Accuracy,0.9637,9,Active WeaSuL,Generative,n
5,Accuracy,0.9637,9,Active WeaSuL,Generative,n
6,Accuracy,0.9637,9,Active WeaSuL,Generative,n
7,Accuracy,0.9648,9,Active WeaSuL,Generative,n
8,Accuracy,0.9648,9,Active WeaSuL,Generative,n
9,Accuracy,0.9648,9,Active WeaSuL,Generative,n
10,Accuracy,0.9648,9,Active WeaSuL,Generative,n
11,Accuracy,0.9648,9,Active WeaSuL,Generative,n
12,Accuracy,0.9648,9,Active WeaSuL,Generative,n
13,Accuracy,0.9648,9,Active WeaSuL,Generative,n
14,Accuracy,0.9648,9,Active WeaSuL,Generative,n
15,Accuracy,0.9648,9,Active WeaSuL,Generative,n
16,Accuracy,0.9648,9,Active WeaSuL,Generative,n
17,Accuracy,0.9648,9,Active WeaSuL,Generative,n
18,Accuracy,0.9648,9,Active WeaSuL,Generative,n
19,Accuracy,0.9648,9,Active WeaSuL,Generative,n
20,Accuracy,0.9648,9,Active WeaSuL,Generative,n
21,Accuracy,0.9648,9,Active WeaSuL,Generative,n
22,Accuracy,0.9648,9,Active WeaSuL,Generative,n
23,Accuracy,0.9648,9,Active WeaSuL,Generative,n
24,Accuracy,0.9648,9,Active WeaSuL,Generative,n
25,Accuracy,0.9648,9,Active WeaSuL,Generative,n
26,Accuracy,0.9648,9,Active WeaSuL,Generative,n
27,Accuracy,0.9648,9,Active WeaSuL,Generative,n
28,Accuracy,0.9648,9,Active WeaSuL,Generative,n
29,Accuracy,0.9648,9,Active WeaSuL,Generative,n
30,Accuracy,0.9648,9,Active WeaSuL,Generative,n
0,Accuracy,0.8906,0,Active WeaSuL,Discriminative,n
1,Accuracy,0.9758,0,Active WeaSuL,Discriminative,n
2,Accuracy,0.9753,0,Active WeaSuL,Discriminative,n
3,Accuracy,0.9727,0,Active WeaSuL,Discriminative,n
4,Accuracy,0.9771,0,Active WeaSuL,Discriminative,n
5,Accuracy,0.9776,0,Active WeaSuL,Discriminative,n
6,Accuracy,0.9766,0,Active WeaSuL,Discriminative,n
7,Accuracy,0.9776,0,Active WeaSuL,Discriminative,n
8,Accuracy,0.9766,0,Active WeaSuL,Discriminative,n
9,Accuracy,0.9772,0,Active WeaSuL,Discriminative,n
10,Accuracy,0.9768,0,Active WeaSuL,Discriminative,n
11,Accuracy,0.9771,0,Active WeaSuL,Discriminative,n
12,Accuracy,0.9771,0,Active WeaSuL,Discriminative,n
13,Accuracy,0.9777,0,Active WeaSuL,Discriminative,n
14,Accuracy,0.9778,0,Active WeaSuL,Discriminative,n
15,Accuracy,0.9778,0,Active WeaSuL,Discriminative,n
16,Accuracy,0.9775,0,Active WeaSuL,Discriminative,n
17,Accuracy,0.9773,0,Active WeaSuL,Discriminative,n
18,Accuracy,0.9771,0,Active WeaSuL,Discriminative,n
19,Accuracy,0.977,0,Active WeaSuL,Discriminative,n
20,Accuracy,0.9765,0,Active WeaSuL,Discriminative,n
21,Accuracy,0.9776,0,Active WeaSuL,Discriminative,n
22,Accuracy,0.9776,0,Active WeaSuL,Discriminative,n
23,Accuracy,0.9777,0,Active WeaSuL,Discriminative,n
24,Accuracy,0.9776,0,Active WeaSuL,Discriminative,n
25,Accuracy,0.9775,0,Active WeaSuL,Discriminative,n
26,Accuracy,0.9773,0,Active WeaSuL,Discriminative,n
27,Accuracy,0.9778,0,Active WeaSuL,Discriminative,n
28,Accuracy,0.9774,0,Active WeaSuL,Discriminative,n
29,Accuracy,0.9781,0,Active WeaSuL,Discriminative,n
30,Accuracy,0.9777,0,Active WeaSuL,Discriminative,n
0,Accuracy,0.8876,1,Active WeaSuL,Discriminative,n
1,Accuracy,0.9751,1,Active WeaSuL,Discriminative,n
