Active Learning Iteration,Metric,Accuracy,Run,Strategy,Model
5,Accuracy,0.9637,0,Margin,Generative
6,Accuracy,0.9637,0,Margin,Generative
7,Accuracy,0.9637,0,Margin,Generative
8,Accuracy,0.9637,0,Margin,Generative
9,Accuracy,0.9637,0,Margin,Generative
10,Accuracy,0.9637,0,Margin,Generative
11,Accuracy,0.9637,0,Margin,Generative
12,Accuracy,0.9637,0,Margin,Generative
13,Accuracy,0.9637,0,Margin,Generative
14,Accuracy,0.9637,0,Margin,Generative
15,Accuracy,0.9637,0,Margin,Generative
16,Accuracy,0.9637,0,Margin,Generative
17,Accuracy,0.9637,0,Margin,Generative
18,Accuracy,0.9637,0,Margin,Generative
19,Accuracy,0.9648,0,Margin,Generative
20,Accuracy,0.9648,0,Margin,Generative
21,Accuracy,0.9648,0,Margin,Generative
22,Accuracy,0.9648,0,Margin,Generative
23,Accuracy,0.9648,0,Margin,Generative
24,Accuracy,0.9637,0,Margin,Generative
25,Accuracy,0.9648,0,Margin,Generative
26,Accuracy,0.9637,0,Margin,Generative
27,Accuracy,0.9648,0,Margin,Generative
28,Accuracy,0.9637,0,Margin,Generative
29,Accuracy,0.9648,0,Margin,Generative
30,Accuracy,0.9637,0,Margin,Generative
0,Accuracy,0.9015,1,Margin,Generative
1,Accuracy,0.9637,1,Margin,Generative
2,Accuracy,0.9637,1,Margin,Generative
3,Accuracy,0.9637,1,Margin,Generative
4,Accuracy,0.9637,1,Margin,Generative
5,Accuracy,0.9637,1,Margin,Generative
6,Accuracy,0.9637,1,Margin,Generative
7,Accuracy,0.9637,1,Margin,Generative
8,Accuracy,0.9637,1,Margin,Generative
9,Accuracy,0.9637,1,Margin,Generative
10,Accuracy,0.9648,1,Margin,Generative
11,Accuracy,0.9648,1,Margin,Generative
12,Accuracy,0.9648,1,Margin,Generative
13,Accuracy,0.9648,1,Margin,Generative
14,Accuracy,0.9648,1,Margin,Generative
15,Accuracy,0.9648,1,Margin,Generative
16,Accuracy,0.9648,1,Margin,Generative
17,Accuracy,0.9648,1,Margin,Generative
18,Accuracy,0.9648,1,Margin,Generative
19,Accuracy,0.9648,1,Margin,Generative
20,Accuracy,0.9648,1,Margin,Generative
21,Accuracy,0.9648,1,Margin,Generative
22,Accuracy,0.9648,1,Margin,Generative
23,Accuracy,0.9648,1,Margin,Generative
24,Accuracy,0.9648,1,Margin,Generative
25,Accuracy,0.9648,1,Margin,Generative
26,Accuracy,0.9648,1,Margin,Generative
27,Accuracy,0.9648,1,Margin,Generative
28,Accuracy,0.9648,1,Margin,Generative
29,Accuracy,0.9648,1,Margin,Generative
30,Accuracy,0.9648,1,Margin,Generative
