Active Learning Iteration,Metric,Accuracy,Run,Strategy,Model
9,Accuracy,0.9637,3,Relative Entropy,Generative
10,Accuracy,0.9648,3,Relative Entropy,Generative
11,Accuracy,0.9648,3,Relative Entropy,Generative
12,Accuracy,0.9637,3,Relative Entropy,Generative
13,Accuracy,0.9637,3,Relative Entropy,Generative
14,Accuracy,0.9637,3,Relative Entropy,Generative
15,Accuracy,0.9637,3,Relative Entropy,Generative
16,Accuracy,0.9648,3,Relative Entropy,Generative
17,Accuracy,0.9648,3,Relative Entropy,Generative
18,Accuracy,0.9648,3,Relative Entropy,Generative
19,Accuracy,0.9648,3,Relative Entropy,Generative
20,Accuracy,0.9648,3,Relative Entropy,Generative
21,Accuracy,0.9648,3,Relative Entropy,Generative
22,Accuracy,0.9648,3,Relative Entropy,Generative
23,Accuracy,0.9648,3,Relative Entropy,Generative
24,Accuracy,0.9648,3,Relative Entropy,Generative
25,Accuracy,0.9648,3,Relative Entropy,Generative
26,Accuracy,0.9648,3,Relative Entropy,Generative
27,Accuracy,0.9648,3,Relative Entropy,Generative
28,Accuracy,0.9648,3,Relative Entropy,Generative
29,Accuracy,0.9648,3,Relative Entropy,Generative
30,Accuracy,0.9648,3,Relative Entropy,Generative
0,Accuracy,0.8189,4,Relative Entropy,Generative
1,Accuracy,0.9637,4,Relative Entropy,Generative
2,Accuracy,0.9648,4,Relative Entropy,Generative
3,Accuracy,0.9648,4,Relative Entropy,Generative
4,Accuracy,0.9648,4,Relative Entropy,Generative
5,Accuracy,0.9648,4,Relative Entropy,Generative
6,Accuracy,0.9648,4,Relative Entropy,Generative
7,Accuracy,0.9648,4,Relative Entropy,Generative
8,Accuracy,0.9648,4,Relative Entropy,Generative
9,Accuracy,0.9648,4,Relative Entropy,Generative
10,Accuracy,0.9648,4,Relative Entropy,Generative
11,Accuracy,0.9648,4,Relative Entropy,Generative
12,Accuracy,0.9648,4,Relative Entropy,Generative
13,Accuracy,0.9648,4,Relative Entropy,Generative
14,Accuracy,0.9648,4,Relative Entropy,Generative
15,Accuracy,0.9648,4,Relative Entropy,Generative
16,Accuracy,0.9648,4,Relative Entropy,Generative
17,Accuracy,0.9648,4,Relative Entropy,Generative
18,Accuracy,0.9648,4,Relative Entropy,Generative
19,Accuracy,0.9648,4,Relative Entropy,Generative
20,Accuracy,0.9648,4,Relative Entropy,Generative
21,Accuracy,0.9648,4,Relative Entropy,Generative
22,Accuracy,0.9648,4,Relative Entropy,Generative
23,Accuracy,0.9648,4,Relative Entropy,Generative
24,Accuracy,0.9648,4,Relative Entropy,Generative
25,Accuracy,0.9648,4,Relative Entropy,Generative
26,Accuracy,0.9648,4,Relative Entropy,Generative
27,Accuracy,0.9648,4,Relative Entropy,Generative
28,Accuracy,0.9648,4,Relative Entropy,Generative
29,Accuracy,0.9648,4,Relative Entropy,Generative
30,Accuracy,0.9648,4,Relative Entropy,Generative
0,Accuracy,0.9015,5,Relative Entropy,Generative
1,Accuracy,0.9637,5,Relative Entropy,Generative
2,Accuracy,0.9015,5,Relative Entropy,Generative
3,Accuracy,0.9015,5,Relative Entropy,Generative
4,Accuracy,0.9015,5,Relative Entropy,Generative
5,Accuracy,0.9637,5,Relative Entropy,Generative
6,Accuracy,0.9637,5,Relative Entropy,Generative
7,Accuracy,0.9637,5,Relative Entropy,Generative
8,Accuracy,0.9637,5,Relative Entropy,Generative
9,Accuracy,0.9648,5,Relative Entropy,Generative
10,Accuracy,0.9648,5,Relative Entropy,Generative
11,Accuracy,0.9648,5,Relative Entropy,Generative
12,Accuracy,0.9637,5,Relative Entropy,Generative
13,Accuracy,0.9648,5,Relative Entropy,Generative
14,Accuracy,0.9648,5,Relative Entropy,Generative
15,Accuracy,0.9648,5,Relative Entropy,Generative
16,Accuracy,0.9648,5,Relative Entropy,Generative
17,Accuracy,0.9648,5,Relative Entropy,Generative
18,Accuracy,0.9648,5,Relative Entropy,Generative
19,Accuracy,0.9648,5,Relative Entropy,Generative
20,Accuracy,0.9648,5,Relative Entropy,Generative
21,Accuracy,0.9648,5,Relative Entropy,Generative
22,Accuracy,0.9648,5,Relative Entropy,Generative
23,Accuracy,0.9648,5,Relative Entropy,Generative
24,Accuracy,0.9648,5,Relative Entropy,Generative
25,Accuracy,0.9648,5,Relative Entropy,Generative
26,Accuracy,0.9648,5,Relative Entropy,Generative
27,Accuracy,0.9648,5,Relative Entropy,Generative
28,Accuracy,0.9648,5,Relative Entropy,Generative
29,Accuracy,0.9648,5,Relative Entropy,Generative
30,Accuracy,0.9648,5,Relative Entropy,Generative
0,Accuracy,0.9015,6,Relative Entropy,Generative
1,Accuracy,0.9637,6,Relative Entropy,Generative
2,Accuracy,0.9648,6,Relative Entropy,Generative
3,Accuracy,0.9637,6,Relative Entropy,Generative
4,Accuracy,0.9637,6,Relative Entropy,Generative
5,Accuracy,0.9637,6,Relative Entropy,Generative
6,Accuracy,0.9637,6,Relative Entropy,Generative
7,Accuracy,0.9637,6,Relative Entropy,Generative
8,Accuracy,0.9637,6,Relative Entropy,Generative
9,Accuracy,0.9637,6,Relative Entropy,Generative
10,Accuracy,0.9637,6,Relative Entropy,Generative
11,Accuracy,0.9637,6,Relative Entropy,Generative
12,Accuracy,0.9637,6,Relative Entropy,Generative
13,Accuracy,0.9637,6,Relative Entropy,Generative
14,Accuracy,0.9648,6,Relative Entropy,Generative
15,Accuracy,0.9648,6,Relative Entropy,Generative
16,Accuracy,0.9648,6,Relative Entropy,Generative
17,Accuracy,0.9648,6,Relative Entropy,Generative
18,Accuracy,0.9648,6,Relative Entropy,Generative
19,Accuracy,0.9648,6,Relative Entropy,Generative
20,Accuracy,0.9648,6,Relative Entropy,Generative
21,Accuracy,0.9648,6,Relative Entropy,Generative
22,Accuracy,0.9648,6,Relative Entropy,Generative
23,Accuracy,0.9648,6,Relative Entropy,Generative
24,Accuracy,0.9648,6,Relative Entropy,Generative
25,Accuracy,0.9648,6,Relative Entropy,Generative
26,Accuracy,0.9648,6,Relative Entropy,Generative
27,Accuracy,0.9648,6,Relative Entropy,Generative
28,Accuracy,0.9648,6,Relative Entropy,Generative
29,Accuracy,0.9648,6,Relative Entropy,Generative
30,Accuracy,0.9648,6,Relative Entropy,Generative
0,Accuracy,0.9015,7,Relative Entropy,Generative
1,Accuracy,0.9648,7,Relative Entropy,Generative
2,Accuracy,0.9648,7,Relative Entropy,Generative
3,Accuracy,0.9648,7,Relative Entropy,Generative
4,Accuracy,0.9648,7,Relative Entropy,Generative
5,Accuracy,0.9648,7,Relative Entropy,Generative
6,Accuracy,0.9648,7,Relative Entropy,Generative
7,Accuracy,0.9637,7,Relative Entropy,Generative
8,Accuracy,0.9637,7,Relative Entropy,Generative
9,Accuracy,0.9637,7,Relative Entropy,Generative
10,Accuracy,0.9637,7,Relative Entropy,Generative
11,Accuracy,0.9637,7,Relative Entropy,Generative
12,Accuracy,0.9637,7,Relative Entropy,Generative
13,Accuracy,0.9637,7,Relative Entropy,Generative
14,Accuracy,0.9637,7,Relative Entropy,Generative
15,Accuracy,0.9637,7,Relative Entropy,Generative
16,Accuracy,0.9637,7,Relative Entropy,Generative
17,Accuracy,0.9637,7,Relative Entropy,Generative
18,Accuracy,0.9637,7,Relative Entropy,Generative
19,Accuracy,0.9637,7,Relative Entropy,Generative
20,Accuracy,0.9637,7,Relative Entropy,Generative
21,Accuracy,0.9637,7,Relative Entropy,Generative
22,Accuracy,0.9637,7,Relative Entropy,Generative
23,Accuracy,0.9637,7,Relative Entropy,Generative
24,Accuracy,0.9637,7,Relative Entropy,Generative
25,Accuracy,0.9637,7,Relative Entropy,Generative
26,Accuracy,0.9637,7,Relative Entropy,Generative
27,Accuracy,0.9637,7,Relative Entropy,Generative
28,Accuracy,0.9637,7,Relative Entropy,Generative
29,Accuracy,0.9637,7,Relative Entropy,Generative
30,Accuracy,0.9637,7,Relative Entropy,Generative
0,Accuracy,0.9015,8,Relative Entropy,Generative
1,Accuracy,0.9648,8,Relative Entropy,Generative
2,Accuracy,0.9648,8,Relative Entropy,Generative
3,Accuracy,0.9637,8,Relative Entropy,Generative
4,Accuracy,0.9637,8,Relative Entropy,Generative
5,Accuracy,0.9637,8,Relative Entropy,Generative
6,Accuracy,0.9637,8,Relative Entropy,Generative
7,Accuracy,0.9637,8,Relative Entropy,Generative
8,Accuracy,0.9637,8,Relative Entropy,Generative
9,Accuracy,0.9637,8,Relative Entropy,Generative
10,Accuracy,0.9637,8,Relative Entropy,Generative
11,Accuracy,0.9637,8,Relative Entropy,Generative
12,Accuracy,0.9637,8,Relative Entropy,Generative
13,Accuracy,0.9637,8,Relative Entropy,Generative
14,Accuracy,0.9637,8,Relative Entropy,Generative
15,Accuracy,0.9637,8,Relative Entropy,Generative
16,Accuracy,0.9637,8,Relative Entropy,Generative
17,Accuracy,0.9637,8,Relative Entropy,Generative
18,Accuracy,0.9637,8,Relative Entropy,Generative
19,Accuracy,0.9637,8,Relative Entropy,Generative
20,Accuracy,0.9637,8,Relative Entropy,Generative
21,Accuracy,0.9637,8,Relative Entropy,Generative
22,Accuracy,0.9637,8,Relative Entropy,Generative
23,Accuracy,0.9637,8,Relative Entropy,Generative
24,Accuracy,0.9637,8,Relative Entropy,Generative
25,Accuracy,0.9637,8,Relative Entropy,Generative
26,Accuracy,0.9637,8,Relative Entropy,Generative
27,Accuracy,0.9637,8,Relative Entropy,Generative
28,Accuracy,0.9637,8,Relative Entropy,Generative
29,Accuracy,0.9637,8,Relative Entropy,Generative
30,Accuracy,0.9637,8,Relative Entropy,Generative
0,Accuracy,0.9015,9,Relative Entropy,Generative
1,Accuracy,0.9648,9,Relative Entropy,Generative
2,Accuracy,0.9648,9,Relative Entropy,Generative
3,Accuracy,0.9637,9,Relative Entropy,Generative
4,Accuracy,0.9637,9,Relative Entropy,Generative
5,Accuracy,0.9637,9,Relative Entropy,Generative
6,Accuracy,0.9637,9,Relative Entropy,Generative
7,Accuracy,0.9648,9,Relative Entropy,Generative
8,Accuracy,0.9648,9,Relative Entropy,Generative
9,Accuracy,0.9648,9,Relative Entropy,Generative
10,Accuracy,0.9648,9,Relative Entropy,Generative
11,Accuracy,0.9648,9,Relative Entropy,Generative
12,Accuracy,0.9648,9,Relative Entropy,Generative
13,Accuracy,0.9648,9,Relative Entropy,Generative
14,Accuracy,0.9648,9,Relative Entropy,Generative
15,Accuracy,0.9648,9,Relative Entropy,Generative
16,Accuracy,0.9648,9,Relative Entropy,Generative
17,Accuracy,0.9648,9,Relative Entropy,Generative
18,Accuracy,0.9648,9,Relative Entropy,Generative
19,Accuracy,0.9648,9,Relative Entropy,Generative
20,Accuracy,0.9648,9,Relative Entropy,Generative
21,Accuracy,0.9648,9,Relative Entropy,Generative
22,Accuracy,0.9648,9,Relative Entropy,Generative
23,Accuracy,0.9648,9,Relative Entropy,Generative
24,Accuracy,0.9648,9,Relative Entropy,Generative
25,Accuracy,0.9648,9,Relative Entropy,Generative
26,Accuracy,0.9648,9,Relative Entropy,Generative
27,Accuracy,0.9648,9,Relative Entropy,Generative
28,Accuracy,0.9648,9,Relative Entropy,Generative
29,Accuracy,0.9648,9,Relative Entropy,Generative
30,Accuracy,0.9648,9,Relative Entropy,Generative
0,Accuracy,0.8189,0,Margin,Generative
1,Accuracy,0.9637,0,Margin,Generative
2,Accuracy,0.9648,0,Margin,Generative
3,Accuracy,0.9637,0,Margin,Generative
4,Accuracy,0.9637,0,Margin,Generative
