Active Learning Iteration,Metric,Value,Run,Set,Model
0,MCC,0.3525582196075267,0,train,Generative
0,Precision,0.6911764705882353,0,train,Generative
0,Recall,0.27325581395348836,0,train,Generative
0,Accuracy,0.8161209068010076,0,train,Generative
1,MCC,0.23773923707478614,0,train,Generative
1,Precision,0.8421052631578947,0,train,Generative
1,Recall,0.09302325581395349,0,train,Generative
1,Accuracy,0.7997481108312342,0,train,Generative
2,MCC,0.3525582196075267,0,train,Generative
2,Precision,0.6911764705882353,0,train,Generative
2,Recall,0.27325581395348836,0,train,Generative
2,Accuracy,0.8161209068010076,0,train,Generative
3,MCC,0.5994533352777068,0,train,Generative
3,Precision,0.7346938775510204,0,train,Generative
3,Recall,0.627906976744186,0,train,Generative
3,Accuracy,0.8702770780856424,0,train,Generative
4,MCC,0.5994533352777068,0,train,Generative
4,Precision,0.7346938775510204,0,train,Generative
4,Recall,0.627906976744186,0,train,Generative
4,Accuracy,0.8702770780856424,0,train,Generative
5,MCC,0.6129381696841567,0,train,Generative
5,Precision,0.7952755905511811,0,train,Generative
5,Recall,0.5872093023255814,0,train,Generative
5,Accuracy,0.8778337531486146,0,train,Generative
6,MCC,0.6129381696841567,0,train,Generative
6,Precision,0.7952755905511811,0,train,Generative
6,Recall,0.5872093023255814,0,train,Generative
6,Accuracy,0.8778337531486146,0,train,Generative
7,MCC,0.6129381696841567,0,train,Generative
7,Precision,0.7952755905511811,0,train,Generative
7,Recall,0.5872093023255814,0,train,Generative
7,Accuracy,0.8778337531486146,0,train,Generative
8,MCC,0.6129381696841567,0,train,Generative
8,Precision,0.7952755905511811,0,train,Generative
8,Recall,0.5872093023255814,0,train,Generative
8,Accuracy,0.8778337531486146,0,train,Generative
9,MCC,0.6129381696841567,0,train,Generative
9,Precision,0.7952755905511811,0,train,Generative
9,Recall,0.5872093023255814,0,train,Generative
9,Accuracy,0.8778337531486146,0,train,Generative
10,MCC,0.6129381696841567,0,train,Generative
