Active Learning Iteration,Metric,Accuracy,Run,Strategy,Model,Dash
11,Accuracy,0.9648,9,Relative Entropy,Generative,y
12,Accuracy,0.9648,9,Relative Entropy,Generative,y
13,Accuracy,0.9648,9,Relative Entropy,Generative,y
14,Accuracy,0.9648,9,Relative Entropy,Generative,y
15,Accuracy,0.9648,9,Relative Entropy,Generative,y
16,Accuracy,0.9648,9,Relative Entropy,Generative,y
17,Accuracy,0.9648,9,Relative Entropy,Generative,y
18,Accuracy,0.9648,9,Relative Entropy,Generative,y
19,Accuracy,0.9648,9,Relative Entropy,Generative,y
20,Accuracy,0.9648,9,Relative Entropy,Generative,y
21,Accuracy,0.9648,9,Relative Entropy,Generative,y
22,Accuracy,0.9648,9,Relative Entropy,Generative,y
23,Accuracy,0.9648,9,Relative Entropy,Generative,y
24,Accuracy,0.9648,9,Relative Entropy,Generative,y
25,Accuracy,0.9648,9,Relative Entropy,Generative,y
26,Accuracy,0.9648,9,Relative Entropy,Generative,y
27,Accuracy,0.9648,9,Relative Entropy,Generative,y
28,Accuracy,0.9648,9,Relative Entropy,Generative,y
29,Accuracy,0.9648,9,Relative Entropy,Generative,y
30,Accuracy,0.9648,9,Relative Entropy,Generative,y
0,Accuracy,0.8906,0,Relative Entropy,Discriminative,y
1,Accuracy,0.9758,0,Relative Entropy,Discriminative,y
2,Accuracy,0.9753,0,Relative Entropy,Discriminative,y
3,Accuracy,0.9727,0,Relative Entropy,Discriminative,y
4,Accuracy,0.9771,0,Relative Entropy,Discriminative,y
5,Accuracy,0.9776,0,Relative Entropy,Discriminative,y
6,Accuracy,0.9766,0,Relative Entropy,Discriminative,y
7,Accuracy,0.9776,0,Relative Entropy,Discriminative,y
8,Accuracy,0.9766,0,Relative Entropy,Discriminative,y
9,Accuracy,0.9772,0,Relative Entropy,Discriminative,y
10,Accuracy,0.9768,0,Relative Entropy,Discriminative,y
11,Accuracy,0.9771,0,Relative Entropy,Discriminative,y
12,Accuracy,0.9771,0,Relative Entropy,Discriminative,y
13,Accuracy,0.9777,0,Relative Entropy,Discriminative,y
14,Accuracy,0.9778,0,Relative Entropy,Discriminative,y
15,Accuracy,0.9778,0,Relative Entropy,Discriminative,y
16,Accuracy,0.9775,0,Relative Entropy,Discriminative,y
17,Accuracy,0.9773,0,Relative Entropy,Discriminative,y
18,Accuracy,0.9771,0,Relative Entropy,Discriminative,y
19,Accuracy,0.977,0,Relative Entropy,Discriminative,y
20,Accuracy,0.9765,0,Relative Entropy,Discriminative,y
21,Accuracy,0.9776,0,Relative Entropy,Discriminative,y
22,Accuracy,0.9776,0,Relative Entropy,Discriminative,y
23,Accuracy,0.9777,0,Relative Entropy,Discriminative,y
24,Accuracy,0.9776,0,Relative Entropy,Discriminative,y
25,Accuracy,0.9775,0,Relative Entropy,Discriminative,y
26,Accuracy,0.9773,0,Relative Entropy,Discriminative,y
27,Accuracy,0.9778,0,Relative Entropy,Discriminative,y
28,Accuracy,0.9774,0,Relative Entropy,Discriminative,y
29,Accuracy,0.9781,0,Relative Entropy,Discriminative,y
30,Accuracy,0.9777,0,Relative Entropy,Discriminative,y
0,Accuracy,0.8876,1,Relative Entropy,Discriminative,y
1,Accuracy,0.9751,1,Relative Entropy,Discriminative,y
2,Accuracy,0.9761,1,Relative Entropy,Discriminative,y
3,Accuracy,0.9655,1,Relative Entropy,Discriminative,y
4,Accuracy,0.9607,1,Relative Entropy,Discriminative,y
5,Accuracy,0.9612,1,Relative Entropy,Discriminative,y
6,Accuracy,0.9654,1,Relative Entropy,Discriminative,y
7,Accuracy,0.9635,1,Relative Entropy,Discriminative,y
8,Accuracy,0.9736,1,Relative Entropy,Discriminative,y
9,Accuracy,0.9769,1,Relative Entropy,Discriminative,y
10,Accuracy,0.9776,1,Relative Entropy,Discriminative,y
11,Accuracy,0.9769,1,Relative Entropy,Discriminative,y
12,Accuracy,0.9746,1,Relative Entropy,Discriminative,y
13,Accuracy,0.9768,1,Relative Entropy,Discriminative,y
14,Accuracy,0.9771,1,Relative Entropy,Discriminative,y
15,Accuracy,0.9777,1,Relative Entropy,Discriminative,y
16,Accuracy,0.9777,1,Relative Entropy,Discriminative,y
17,Accuracy,0.9776,1,Relative Entropy,Discriminative,y
18,Accuracy,0.9779,1,Relative Entropy,Discriminative,y
19,Accuracy,0.9772,1,Relative Entropy,Discriminative,y
20,Accuracy,0.9775,1,Relative Entropy,Discriminative,y
21,Accuracy,0.9773,1,Relative Entropy,Discriminative,y
22,Accuracy,0.9779,1,Relative Entropy,Discriminative,y
23,Accuracy,0.9777,1,Relative Entropy,Discriminative,y
24,Accuracy,0.9777,1,Relative Entropy,Discriminative,y
25,Accuracy,0.978,1,Relative Entropy,Discriminative,y
26,Accuracy,0.9779,1,Relative Entropy,Discriminative,y
27,Accuracy,0.9772,1,Relative Entropy,Discriminative,y
28,Accuracy,0.9773,1,Relative Entropy,Discriminative,y
29,Accuracy,0.9775,1,Relative Entropy,Discriminative,y
30,Accuracy,0.9777,1,Relative Entropy,Discriminative,y
0,Accuracy,0.8743,2,Relative Entropy,Discriminative,y
1,Accuracy,0.9727,2,Relative Entropy,Discriminative,y
2,Accuracy,0.9761,2,Relative Entropy,Discriminative,y
3,Accuracy,0.9725,2,Relative Entropy,Discriminative,y
4,Accuracy,0.9771,2,Relative Entropy,Discriminative,y
5,Accuracy,0.9776,2,Relative Entropy,Discriminative,y
6,Accuracy,0.9768,2,Relative Entropy,Discriminative,y
7,Accuracy,0.9776,2,Relative Entropy,Discriminative,y
8,Accuracy,0.9769,2,Relative Entropy,Discriminative,y
9,Accuracy,0.977,2,Relative Entropy,Discriminative,y
10,Accuracy,0.9774,2,Relative Entropy,Discriminative,y
11,Accuracy,0.9767,2,Relative Entropy,Discriminative,y
12,Accuracy,0.9769,2,Relative Entropy,Discriminative,y
13,Accuracy,0.9767,2,Relative Entropy,Discriminative,y
14,Accuracy,0.9768,2,Relative Entropy,Discriminative,y
15,Accuracy,0.9768,2,Relative Entropy,Discriminative,y
16,Accuracy,0.9767,2,Relative Entropy,Discriminative,y
17,Accuracy,0.9768,2,Relative Entropy,Discriminative,y
18,Accuracy,0.9768,2,Relative Entropy,Discriminative,y
19,Accuracy,0.9771,2,Relative Entropy,Discriminative,y
20,Accuracy,0.9768,2,Relative Entropy,Discriminative,y
21,Accuracy,0.9768,2,Relative Entropy,Discriminative,y
22,Accuracy,0.977,2,Relative Entropy,Discriminative,y
23,Accuracy,0.9768,2,Relative Entropy,Discriminative,y
24,Accuracy,0.9768,2,Relative Entropy,Discriminative,y
25,Accuracy,0.976,2,Relative Entropy,Discriminative,y
26,Accuracy,0.9768,2,Relative Entropy,Discriminative,y
