Run,Number of labeled points,Model,Metric,Value,Set,Approach,Dash
1,10,Discriminative,Accuracy,0.9666666666666667,test,Active WeaSuL,
1,11,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
1,11,Discriminative,Accuracy,0.9686666666666667,test,Active WeaSuL,
1,12,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
1,12,Discriminative,Accuracy,0.9686666666666667,test,Active WeaSuL,
1,13,Generative,Accuracy,0.961,test,Active WeaSuL,
1,13,Discriminative,Accuracy,0.976,test,Active WeaSuL,
1,14,Generative,Accuracy,0.961,test,Active WeaSuL,
1,14,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
1,15,Generative,Accuracy,0.961,test,Active WeaSuL,
1,15,Discriminative,Accuracy,0.975,test,Active WeaSuL,
1,16,Generative,Accuracy,0.961,test,Active WeaSuL,
1,16,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
1,17,Generative,Accuracy,0.961,test,Active WeaSuL,
1,17,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
1,18,Generative,Accuracy,0.961,test,Active WeaSuL,
1,18,Discriminative,Accuracy,0.974,test,Active WeaSuL,
1,19,Generative,Accuracy,0.961,test,Active WeaSuL,
1,19,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
1,20,Generative,Accuracy,0.961,test,Active WeaSuL,
1,20,Discriminative,Accuracy,0.9743333333333334,test,Active WeaSuL,
1,21,Generative,Accuracy,0.961,test,Active WeaSuL,
1,21,Discriminative,Accuracy,0.976,test,Active WeaSuL,
1,22,Generative,Accuracy,0.961,test,Active WeaSuL,
1,22,Discriminative,Accuracy,0.9756666666666667,test,Active WeaSuL,
1,23,Generative,Accuracy,0.961,test,Active WeaSuL,
1,23,Discriminative,Accuracy,0.976,test,Active WeaSuL,
1,24,Generative,Accuracy,0.961,test,Active WeaSuL,
1,24,Discriminative,Accuracy,0.9763333333333334,test,Active WeaSuL,
1,25,Generative,Accuracy,0.961,test,Active WeaSuL,
1,25,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
1,26,Generative,Accuracy,0.961,test,Active WeaSuL,
1,26,Discriminative,Accuracy,0.975,test,Active WeaSuL,
1,27,Generative,Accuracy,0.961,test,Active WeaSuL,
1,27,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
1,28,Generative,Accuracy,0.961,test,Active WeaSuL,
1,28,Discriminative,Accuracy,0.975,test,Active WeaSuL,
1,29,Generative,Accuracy,0.961,test,Active WeaSuL,
1,29,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
1,30,Generative,Accuracy,0.961,test,Active WeaSuL,
1,30,Discriminative,Accuracy,0.9756666666666667,test,Active WeaSuL,
2,0,Generative,Accuracy,0.8133333333333334,test,Active WeaSuL,
2,0,Discriminative,Accuracy,0.8686666666666667,test,Active WeaSuL,
2,1,Generative,Accuracy,0.8133333333333334,test,Active WeaSuL,
2,1,Discriminative,Accuracy,0.856,test,Active WeaSuL,
2,2,Generative,Accuracy,0.8133333333333334,test,Active WeaSuL,
2,2,Discriminative,Accuracy,0.8566666666666667,test,Active WeaSuL,
2,3,Generative,Accuracy,0.8133333333333334,test,Active WeaSuL,
2,3,Discriminative,Accuracy,0.8616666666666667,test,Active WeaSuL,
2,4,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
2,4,Discriminative,Accuracy,0.9603333333333334,test,Active WeaSuL,
2,5,Generative,Accuracy,0.961,test,Active WeaSuL,
2,5,Discriminative,Accuracy,0.973,test,Active WeaSuL,
2,6,Generative,Accuracy,0.961,test,Active WeaSuL,
2,6,Discriminative,Accuracy,0.973,test,Active WeaSuL,
2,7,Generative,Accuracy,0.961,test,Active WeaSuL,
2,7,Discriminative,Accuracy,0.973,test,Active WeaSuL,
2,8,Generative,Accuracy,0.961,test,Active WeaSuL,
2,8,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
2,9,Generative,Accuracy,0.961,test,Active WeaSuL,
2,9,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
2,10,Generative,Accuracy,0.961,test,Active WeaSuL,
2,10,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
2,11,Generative,Accuracy,0.961,test,Active WeaSuL,
2,11,Discriminative,Accuracy,0.975,test,Active WeaSuL,
2,12,Generative,Accuracy,0.961,test,Active WeaSuL,
2,12,Discriminative,Accuracy,0.975,test,Active WeaSuL,
2,13,Generative,Accuracy,0.961,test,Active WeaSuL,
2,13,Discriminative,Accuracy,0.975,test,Active WeaSuL,
2,14,Generative,Accuracy,0.961,test,Active WeaSuL,
2,14,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
2,15,Generative,Accuracy,0.961,test,Active WeaSuL,
2,15,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
2,16,Generative,Accuracy,0.961,test,Active WeaSuL,
2,16,Discriminative,Accuracy,0.9743333333333334,test,Active WeaSuL,
2,17,Generative,Accuracy,0.961,test,Active WeaSuL,
2,17,Discriminative,Accuracy,0.9743333333333334,test,Active WeaSuL,
2,18,Generative,Accuracy,0.961,test,Active WeaSuL,
2,18,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
2,19,Generative,Accuracy,0.961,test,Active WeaSuL,
2,19,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
2,20,Generative,Accuracy,0.961,test,Active WeaSuL,
2,20,Discriminative,Accuracy,0.975,test,Active WeaSuL,
2,21,Generative,Accuracy,0.961,test,Active WeaSuL,
2,21,Discriminative,Accuracy,0.9743333333333334,test,Active WeaSuL,
2,22,Generative,Accuracy,0.961,test,Active WeaSuL,
2,22,Discriminative,Accuracy,0.975,test,Active WeaSuL,
2,23,Generative,Accuracy,0.961,test,Active WeaSuL,
2,23,Discriminative,Accuracy,0.975,test,Active WeaSuL,
2,24,Generative,Accuracy,0.961,test,Active WeaSuL,
2,24,Discriminative,Accuracy,0.9743333333333334,test,Active WeaSuL,
2,25,Generative,Accuracy,0.961,test,Active WeaSuL,
2,25,Discriminative,Accuracy,0.9736666666666667,test,Active WeaSuL,
2,26,Generative,Accuracy,0.961,test,Active WeaSuL,
2,26,Discriminative,Accuracy,0.975,test,Active WeaSuL,
2,27,Generative,Accuracy,0.961,test,Active WeaSuL,
2,27,Discriminative,Accuracy,0.975,test,Active WeaSuL,
2,28,Generative,Accuracy,0.961,test,Active WeaSuL,
2,28,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
2,29,Generative,Accuracy,0.961,test,Active WeaSuL,
2,29,Discriminative,Accuracy,0.975,test,Active WeaSuL,
2,30,Generative,Accuracy,0.961,test,Active WeaSuL,
2,30,Discriminative,Accuracy,0.9736666666666667,test,Active WeaSuL,
3,0,Generative,Accuracy,0.8133333333333334,test,Active WeaSuL,
3,0,Discriminative,Accuracy,0.8686666666666667,test,Active WeaSuL,
3,1,Generative,Accuracy,0.961,test,Active WeaSuL,
3,1,Discriminative,Accuracy,0.9706666666666667,test,Active WeaSuL,
3,2,Generative,Accuracy,0.961,test,Active WeaSuL,
3,2,Discriminative,Accuracy,0.9736666666666667,test,Active WeaSuL,
3,3,Generative,Accuracy,0.961,test,Active WeaSuL,
3,3,Discriminative,Accuracy,0.9713333333333334,test,Active WeaSuL,
3,4,Generative,Accuracy,0.961,test,Active WeaSuL,
3,4,Discriminative,Accuracy,0.9743333333333334,test,Active WeaSuL,
3,5,Generative,Accuracy,0.961,test,Active WeaSuL,
3,5,Discriminative,Accuracy,0.9763333333333334,test,Active WeaSuL,
3,6,Generative,Accuracy,0.961,test,Active WeaSuL,
3,6,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
3,7,Generative,Accuracy,0.961,test,Active WeaSuL,
3,7,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
3,8,Generative,Accuracy,0.961,test,Active WeaSuL,
3,8,Discriminative,Accuracy,0.972,test,Active WeaSuL,
3,9,Generative,Accuracy,0.961,test,Active WeaSuL,
3,9,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
3,10,Generative,Accuracy,0.961,test,Active WeaSuL,
3,10,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
3,11,Generative,Accuracy,0.961,test,Active WeaSuL,
3,11,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
3,12,Generative,Accuracy,0.961,test,Active WeaSuL,
