Run,Number of labeled points,Model,Metric,Value,Set,Approach,Dash
0,0,Generative,F1,0.17543859649122806,test,Active WeaSuL,
0,0,Discriminative,F1,0.16,test,Active WeaSuL,
0,1,Generative,F1,0.6052631578947368,test,Active WeaSuL,
0,1,Discriminative,F1,0.6233766233766234,test,Active WeaSuL,
0,2,Generative,F1,0.6052631578947368,test,Active WeaSuL,
0,2,Discriminative,F1,0.625,test,Active WeaSuL,
0,3,Generative,F1,0.6052631578947368,test,Active WeaSuL,
0,3,Discriminative,F1,0.6075949367088608,test,Active WeaSuL,
0,4,Generative,F1,0.6233766233766234,test,Active WeaSuL,
0,4,Discriminative,F1,0.6329113924050633,test,Active WeaSuL,
0,5,Generative,F1,0.6233766233766234,test,Active WeaSuL,
0,5,Discriminative,F1,0.6410256410256411,test,Active WeaSuL,
0,6,Generative,F1,0.6233766233766234,test,Active WeaSuL,
0,6,Discriminative,F1,0.625,test,Active WeaSuL,
0,7,Generative,F1,0.6233766233766234,test,Active WeaSuL,
0,7,Discriminative,F1,0.6410256410256411,test,Active WeaSuL,
0,8,Generative,F1,0.6233766233766234,test,Active WeaSuL,
0,8,Discriminative,F1,0.6329113924050633,test,Active WeaSuL,
0,9,Generative,F1,0.6233766233766234,test,Active WeaSuL,
0,9,Discriminative,F1,0.6410256410256411,test,Active WeaSuL,
0,10,Generative,F1,0.6233766233766234,test,Active WeaSuL,
0,10,Discriminative,F1,0.6233766233766234,test,Active WeaSuL,
0,11,Generative,F1,0.6052631578947368,test,Active WeaSuL,
0,11,Discriminative,F1,0.6075949367088608,test,Active WeaSuL,
0,12,Generative,F1,0.6052631578947368,test,Active WeaSuL,
0,12,Discriminative,F1,0.6153846153846154,test,Active WeaSuL,
0,13,Generative,F1,0.6052631578947368,test,Active WeaSuL,
0,13,Discriminative,F1,0.6075949367088608,test,Active WeaSuL,
0,14,Generative,F1,0.6052631578947368,test,Active WeaSuL,
0,14,Discriminative,F1,0.6233766233766234,test,Active WeaSuL,
0,15,Generative,F1,0.6052631578947368,test,Active WeaSuL,
0,15,Discriminative,F1,0.6075949367088608,test,Active WeaSuL,
0,16,Generative,F1,0.6052631578947368,test,Active WeaSuL,
0,16,Discriminative,F1,0.6075949367088608,test,Active WeaSuL,
0,17,Generative,F1,0.6052631578947368,test,Active WeaSuL,
0,17,Discriminative,F1,0.6233766233766234,test,Active WeaSuL,
0,18,Generative,F1,0.6052631578947368,test,Active WeaSuL,
0,18,Discriminative,F1,0.631578947368421,test,Active WeaSuL,
0,19,Generative,F1,0.6052631578947368,test,Active WeaSuL,
0,19,Discriminative,F1,0.6233766233766234,test,Active WeaSuL,
0,20,Generative,F1,0.6052631578947368,test,Active WeaSuL,
0,20,Discriminative,F1,0.631578947368421,test,Active WeaSuL,
0,21,Generative,F1,0.6052631578947368,test,Active WeaSuL,
0,21,Discriminative,F1,0.631578947368421,test,Active WeaSuL,
0,22,Generative,F1,0.6052631578947368,test,Active WeaSuL,
0,22,Discriminative,F1,0.6153846153846154,test,Active WeaSuL,
0,23,Generative,F1,0.6052631578947368,test,Active WeaSuL,
0,23,Discriminative,F1,0.6233766233766234,test,Active WeaSuL,
